Frame: 54, ID: 8, Speed: 1.5 km/h
Frame: 54, ID: 10, Speed: 4.6 km/h
Frame: 55, ID: 0, Speed: 2.5 km/h
Frame: 55, ID: 4, Speed: 3.7 km/h
Frame: 55, ID: 7, Speed: 2.5 km/h
Frame: 55, ID: 8, Speed: 1.5 km/h
Frame: 55, ID: 10, Speed: 4.4 km/h
Frame: 56, ID: 4, Speed: 3.8 km/h
Frame: 56, ID: 7, Speed: 2.5 km/h
Frame: 56, ID: 10, Speed: 4.1 km/h
Frame: 57, ID: 4, Speed: 3.9 km/h
Frame: 57, ID: 7, Speed: 2.5 km/h
Frame: 57, ID: 10, Speed: 3.9 km/h
Frame: 58, ID: 4, Speed: 4.0 km/h
Frame: 58, ID: 7, Speed: 2.5 km/h
Frame: 58, ID: 10, Speed: 3.9 km/h
Frame: 59, ID: 4, Speed: 4.2 km/h
Frame: 59, ID: 7, Speed: 2.4 km/h
Frame: 59, ID: 8, Speed: 1.5 km/h
Frame: 59, ID: 10, Speed: 4.0 km/h
Frame: 60, ID: 4, Speed: 4.2 km/h
Frame: 60, ID: 7, Speed: 2.5 km/h
Frame: 60, ID: 8, Speed: 1.5 km/h
Frame: 60, ID: 10, Speed: 4.0 km/h
Frame: 61, ID: 4, Speed: 4.2 km/h
Frame: 61, ID: 7, Speed: 2.4 km/h
Frame: 61, ID: 8, Speed: 1.4 km/h
Frame: 61, ID: 10, Speed: 3.8 km/h
Frame: 62, ID: 4, Speed: 4.2 km/h
Frame: 62, ID: 7, Speed: 2.4 km/h
Frame: 62, ID: 8, Speed: 1.5 km/h
Frame: 62, ID: 10, Speed: 3.8 km/h
Frame: 63, ID: 4, Speed: 4.4 km/h
Frame: 63, ID: 7, Speed: 2.4 km/h
Frame: 63, ID: 8, Speed: 1.6 km/h
Frame: 63, ID: 10, Speed: 3.8 km/h
Frame: 64, ID: 4, Speed: 4.3 km/h
Frame: 64, ID: 7, Speed: 2.4 km/h
Frame: 64, ID: 8, Speed: 1.6 km/h
Frame: 64, ID: 10, Speed: 3.7 km/h
Frame: 65, ID: 4, Speed: 4.3 km/h
Frame: 65, ID: 7, Speed: 2.5 km/h
Frame: 65, ID: 8, Speed: 1.4 km/h
Frame: 65, ID: 10, Speed: 3.6 km/h
Frame: 66, ID: 7, Speed: 2.6 km/h
Frame: 66, ID: 8, Speed: 1.4 km/h
Frame: 66, ID: 10, Speed: 3.6 km/h
Frame: 67, ID: 7, Speed: 2.7 km/h
Frame: 67, ID: 8, Speed: 1.4 km/h
Frame: 67, ID: 10, Speed: 3.6 km/h
Frame: 68, ID: 4, Speed: 4.8 km/h
Frame: 68, ID: 7, Speed: 2.7 km/h
Frame: 68, ID: 8, Speed: 1.3 km/h
Frame: 68, ID: 10, Speed: 3.8 km/h
Frame: 69, ID: 4, Speed: 5.0 km/h
Frame: 69, ID: 7, Speed: 2.6 km/h
Frame: 69, ID: 8, Speed: 1.4 km/h
Frame: 69, ID: 10, Speed: 3.7 km/h
Frame: 70, ID: 4, Speed: 5.3 km/h
Frame: 70, ID: 7, Speed: 2.7 km/h
Frame: 70, ID: 8, Speed: 1.3 km/h
Frame: 70, ID: 10, Speed: 3.6 km/h
Frame: 71, ID: 4, Speed: 5.7 km/h
Frame: 71, ID: 7, Speed: 2.7 km/h
Frame: 71, ID: 8, Speed: 1.3 km/h
Frame: 71, ID: 10, Speed: 3.5 km/h
Frame: 72, ID: 4, Speed: 5.8 km/h
Frame: 72, ID: 7, Speed: 2.7 km/h
Frame: 72, ID: 8, Speed: 1.3 km/h
Frame: 72, ID: 10, Speed: 3.2 km/h
Frame: 73, ID: 4, Speed: 5.9 km/h
Frame: 73, ID: 7, Speed: 2.6 km/h
Frame: 73, ID: 8, Speed: 1.3 km/h
Frame: 73, ID: 10, Speed: 3.0 km/h
Frame: 74, ID: 4, Speed: 5.8 km/h
Frame: 74, ID: 7, Speed: 2.5 km/h
Frame: 74, ID: 8, Speed: 1.3 km/h
Frame: 74, ID: 10, Speed: 2.8 km/h
Frame: 75, ID: 4, Speed: 6.0 km/h
Frame: 75, ID: 7, Speed: 2.5 km/h
Frame: 75, ID: 8, Speed: 1.3 km/h
Frame: 75, ID: 10, Speed: 2.7 km/h
Frame: 75, ID: 11, Speed: 17.2 km/h
Frame: 76, ID: 4, Speed: 6.0 km/h
Frame: 76, ID: 7, Speed: 2.6 km/h
Frame: 76, ID: 8, Speed: 1.3 km/h
Frame: 76, ID: 10, Speed: 2.7 km/h
Frame: 76, ID: 11, Speed: 18.8 km/h
Frame: 77, ID: 4, Speed: 6.4 km/h
Frame: 77, ID: 7, Speed: 2.7 km/h
Frame: 77, ID: 8, Speed: 1.3 km/h
Frame: 77, ID: 10, Speed: 2.7 km/h
Frame: 77, ID: 11, Speed: 21.6 km/h
Frame: 78, ID: 4, Speed: 6.9 km/h
Frame: 78, ID: 7, Speed: 2.8 km/h
Frame: 78, ID: 8, Speed: 1.4 km/h
Frame: 78, ID: 10, Speed: 2.6 km/h
Frame: 78, ID: 11, Speed: 23.1 km/h
Frame: 79, ID: 4, Speed: 7.2 km/h
Frame: 79, ID: 7, Speed: 2.7 km/h
Frame: 79, ID: 8, Speed: 1.4 km/h
Frame: 79, ID: 10, Speed: 2.4 km/h
Frame: 79, ID: 11, Speed: 24.5 km/h
Frame: 80, ID: 4, Speed: 7.5 km/h
Frame: 80, ID: 7, Speed: 2.8 km/h
Frame: 80, ID: 8, Speed: 1.4 km/h
Frame: 80, ID: 10, Speed: 2.4 km/h
Frame: 80, ID: 11, Speed: 24.9 km/h
Frame: 81, ID: 4, Speed: 7.5 km/h
Frame: 81, ID: 7, Speed: 2.8 km/h
Frame: 81, ID: 8, Speed: 1.4 km/h
Frame: 81, ID: 10, Speed: 2.4 km/h
Frame: 81, ID: 11, Speed: 24.2 km/h
Frame: 81, ID: 12, Speed: 12.1 km/h
Frame: 82, ID: 7, Speed: 2.9 km/h
Frame: 82, ID: 8, Speed: 1.4 km/h
Frame: 82, ID: 10, Speed: 2.3 km/h
Frame: 82, ID: 11, Speed: 22.9 km/h
Frame: 82, ID: 12, Speed: 10.8 km/h
Frame: 83, ID: 7, Speed: 2.9 km/h
Frame: 83, ID: 8, Speed: 1.3 km/h
Frame: 83, ID: 10, Speed: 2.2 km/h
Frame: 83, ID: 11, Speed: 22.4 km/h
Frame: 83, ID: 12, Speed: 11.5 km/h
Frame: 84, ID: 7, Speed: 2.8 km/h
Frame: 84, ID: 8, Speed: 1.3 km/h
Frame: 84, ID: 10, Speed: 2.1 km/h
Frame: 84, ID: 11, Speed: 21.2 km/h
Frame: 84, ID: 12, Speed: 10.8 km/h
Frame: 85, ID: 7, Speed: 2.8 km/h
Frame: 85, ID: 8, Speed: 1.3 km/h
Frame: 85, ID: 9, Speed: 3.0 km/h
Frame: 85, ID: 10, Speed: 2.1 km/h
Frame: 85, ID: 11, Speed: 20.7 km/h
Frame: 85, ID: 12, Speed: 10.6 km/h
Frame: 86, ID: 7, Speed: 2.8 km/h
Frame: 86, ID: 8, Speed: 1.2 km/h
Frame: 86, ID: 9, Speed: 3.0 km/h
Frame: 86, ID: 11, Speed: 19.8 km/h
Frame: 86, ID: 12, Speed: 10.9 km/h
Frame: 87, ID: 7, Speed: 2.8 km/h
Frame: 87, ID: 8, Speed: 1.2 km/h
Frame: 87, ID: 11, Speed: 19.0 km/h
Frame: 87, ID: 12, Speed: 10.8 km/h
Frame: 88, ID: 7, Speed: 3.0 km/h
Frame: 88, ID: 8, Speed: 1.2 km/h
Frame: 88, ID: 10, Speed: 2.0 km/h
Frame: 88, ID: 11, Speed: 18.4 km/h
Frame: 88, ID: 12, Speed: 11.9 km/h
Frame: 89, ID: 7, Speed: 3.0 km/h
Frame: 89, ID: 8, Speed: 1.2 km/h
Frame: 89, ID: 10, Speed: 1.7 km/h
Frame: 89, ID: 11, Speed: 17.8 km/h
Frame: 89, ID: 12, Speed: 12.6 km/h
Frame: 90, ID: 7, Speed: 3.0 km/h
Frame: 90, ID: 8, Speed: 1.2 km/h
Frame: 90, ID: 10, Speed: 1.7 km/h
Frame: 90, ID: 11, Speed: 17.5 km/h
Frame: 90, ID: 12, Speed: 13.1 km/h
Frame: 91, ID: 7, Speed: 3.0 km/h
Frame: 91, ID: 8, Speed: 1.4 km/h
Frame: 91, ID: 10, Speed: 1.6 km/h
Frame: 91, ID: 11, Speed: 17.0 km/h
Frame: 91, ID: 12, Speed: 13.6 km/h
Frame: 92, ID: 7, Speed: 3.2 km/h
Frame: 92, ID: 8, Speed: 1.5 km/h
Frame: 92, ID: 10, Speed: 1.6 km/h
Frame: 92, ID: 11, Speed: 17.0 km/h
Frame: 92, ID: 12, Speed: 15.6 km/h
Frame: 93, ID: 7, Speed: 3.3 km/h
Frame: 93, ID: 8, Speed: 1.6 km/h
Frame: 93, ID: 10, Speed: 1.6 km/h
Frame: 93, ID: 12, Speed: 15.8 km/h
Frame: 94, ID: 7, Speed: 3.2 km/h
Frame: 94, ID: 8, Speed: 1.7 km/h
Frame: 94, ID: 10, Speed: 1.5 km/h
Frame: 94, ID: 12, Speed: 16.1 km/h
Frame: 95, ID: 7, Speed: 3.5 km/h
Frame: 95, ID: 8, Speed: 1.7 km/h
Frame: 95, ID: 10, Speed: 1.4 km/h
Frame: 95, ID: 11, Speed: 15.2 km/h
Frame: 95, ID: 12, Speed: 16.4 km/h
Frame: 96, ID: 7, Speed: 3.5 km/h
Frame: 96, ID: 8, Speed: 1.7 km/h
Frame: 96, ID: 10, Speed: 1.4 km/h
Frame: 96, ID: 11, Speed: 14.9 km/h
Frame: 96, ID: 12, Speed: 17.2 km/h
Frame: 97, ID: 7, Speed: 3.8 km/h
Frame: 97, ID: 8, Speed: 1.7 km/h
Frame: 97, ID: 10, Speed: 1.5 km/h
Frame: 97, ID: 11, Speed: 14.3 km/h
Frame: 97, ID: 12, Speed: 17.9 km/h
Frame: 97, ID: 14, Speed: 0.6 km/h
Frame: 98, ID: 7, Speed: 3.9 km/h
Frame: 98, ID: 8, Speed: 1.8 km/h
Frame: 98, ID: 10, Speed: 1.4 km/h
Frame: 98, ID: 11, Speed: 13.3 km/h
Frame: 98, ID: 12, Speed: 19.3 km/h
Frame: 98, ID: 14, Speed: 0.8 km/h
Frame: 99, ID: 7, Speed: 4.3 km/h
Frame: 99, ID: 8, Speed: 1.8 km/h
Frame: 99, ID: 10, Speed: 1.4 km/h
Frame: 99, ID: 11, Speed: 12.1 km/h
Frame: 99, ID: 12, Speed: 19.3 km/h
Frame: 99, ID: 14, Speed: 0.9 km/h
Frame: 100, ID: 7, Speed: 4.4 km/h
Frame: 100, ID: 8, Speed: 1.9 km/h
Frame: 100, ID: 10, Speed: 1.4 km/h
Frame: 100, ID: 11, Speed: 10.8 km/h
Frame: 100, ID: 14, Speed: 0.9 km/h
Frame: 101, ID: 7, Speed: 4.5 km/h
Frame: 101, ID: 8, Speed: 1.9 km/h
Frame: 101, ID: 11, Speed: 9.8 km/h
Frame: 101, ID: 14, Speed: 1.0 km/h
Frame: 102, ID: 7, Speed: 4.6 km/h
Frame: 102, ID: 8, Speed: 2.0 km/h
Frame: 102, ID: 11, Speed: 9.1 km/h
Frame: 102, ID: 14, Speed: 0.9 km/h
Frame: 103, ID: 7, Speed: 4.8 km/h
Frame: 103, ID: 8, Speed: 2.1 km/h
Frame: 103, ID: 11, Speed: 8.7 km/h
Frame: 103, ID: 14, Speed: 0.8 km/h
Frame: 104, ID: 7, Speed: 5.1 km/h
Frame: 104, ID: 8, Speed: 2.1 km/h
Frame: 104, ID: 11, Speed: 8.1 km/h
Frame: 104, ID: 14, Speed: 0.9 km/h
Frame: 105, ID: 7, Speed: 5.5 km/h
Frame: 105, ID: 8, Speed: 2.1 km/h
Frame: 105, ID: 11, Speed: 7.8 km/h
Frame: 105, ID: 14, Speed: 0.9 km/h
Frame: 106, ID: 7, Speed: 5.8 km/h
Frame: 106, ID: 8, Speed: 2.2 km/h
Frame: 106, ID: 11, Speed: 7.4 km/h
Frame: 106, ID: 14, Speed: 0.8 km/h
Frame: 107, ID: 7, Speed: 6.3 km/h
Frame: 107, ID: 8, Speed: 2.4 km/h
Frame: 107, ID: 11, Speed: 7.3 km/h
Frame: 107, ID: 14, Speed: 0.9 km/h
Frame: 108, ID: 7, Speed: 6.4 km/h
Frame: 108, ID: 8, Speed: 2.3 km/h
Frame: 108, ID: 11, Speed: 7.0 km/h
Frame: 108, ID: 14, Speed: 0.9 km/h
Frame: 109, ID: 7, Speed: 6.6 km/h
Frame: 109, ID: 8, Speed: 2.3 km/h
Frame: 109, ID: 11, Speed: 6.7 km/h
Frame: 109, ID: 14, Speed: 0.9 km/h
Frame: 110, ID: 7, Speed: 7.3 km/h
Frame: 110, ID: 8, Speed: 2.5 km/h
Frame: 110, ID: 11, Speed: 6.9 km/h
Frame: 110, ID: 14, Speed: 0.9 km/h
Frame: 111, ID: 7, Speed: 7.7 km/h
Frame: 111, ID: 8, Speed: 2.4 km/h
Frame: 111, ID: 11, Speed: 6.9 km/h
Frame: 112, ID: 7, Speed: 8.0 km/h
Frame: 112, ID: 8, Speed: 2.5 km/h
Frame: 113, ID: 7, Speed: 8.6 km/h
Frame: 113, ID: 8, Speed: 2.5 km/h
Frame: 114, ID: 7, Speed: 9.0 km/h
Frame: 114, ID: 8, Speed: 2.5 km/h
Frame: 114, ID: 11, Speed: 6.3 km/h
Frame: 115, ID: 7, Speed: 9.5 km/h
Frame: 115, ID: 8, Speed: 2.5 km/h
Frame: 115, ID: 11, Speed: 6.3 km/h
Frame: 116, ID: 7, Speed: 10.2 km/h
Frame: 116, ID: 8, Speed: 2.7 km/h
Frame: 116, ID: 11, Speed: 6.1 km/h
Frame: 117, ID: 7, Speed: 10.9 km/h
Frame: 117, ID: 8, Speed: 2.8 km/h
Frame: 117, ID: 11, Speed: 6.1 km/h
Frame: 118, ID: 7, Speed: 11.3 km/h
Frame: 118, ID: 8, Speed: 2.9 km/h
Frame: 119, ID: 7, Speed: 11.7 km/h
Frame: 119, ID: 8, Speed: 3.1 km/h
Frame: 119, ID: 13, Speed: 2.7 km/h
Frame: 120, ID: 7, Speed: 12.4 km/h
Frame: 120, ID: 8, Speed: 3.0 km/h
Frame: 120, ID: 13, Speed: 2.9 km/h
Frame: 121, ID: 7, Speed: 13.3 km/h
Frame: 121, ID: 8, Speed: 3.0 km/h
Frame: 121, ID: 13, Speed: 3.0 km/h
Frame: 122, ID: 7, Speed: 13.7 km/h
Frame: 122, ID: 8, Speed: 3.0 km/h
Frame: 122, ID: 13, Speed: 3.0 km/h
Frame: 122, ID: 16, Speed: 3.5 km/h
Frame: 123, ID: 7, Speed: 15.0 km/h
Frame: 123, ID: 8, Speed: 3.2 km/h
Frame: 123, ID: 16, Speed: 3.2 km/h
Frame: 124, ID: 7, Speed: 16.3 km/h
